STATE/UT,Year,CAUSE,Male,Female,Total
UTTAR PRADESH,2013,Truck/Lorry (Government),107,16,123
UTTAR PRADESH,2013,Truck/Lorry (Private),2754,442,3196
UTTAR PRADESH,2013,Bus (Government),346,63,409
UTTAR PRADESH,2013,Bus (Private),1018,232,1250
UTTAR PRADESH,2013,Tempo/Vans (Government),60,16,76
UTTAR PRADESH,2013,Tempo/Vans (Private),1071,229,1300
UTTAR PRADESH,2013,Jeep (Government),24,6,30
UTTAR PRADESH,2013,Jeep (Private),1009,235,1244
UTTAR PRADESH,2013,Car (Government),22,2,24
UTTAR PRADESH,2013,Car (Private),1320,269,1589
UTTAR PRADESH,2013,Three Wheeler,669,145,814
UTTAR PRADESH,2013,Two Wheeler,2586,488,3074
UTTAR PRADESH,2013,Bicycle,493,60,553
UTTAR PRADESH,2013,Pedestrian,829,196,1025
UTTAR PRADESH,2013,Others (Please Specify),768,155,923
UTTAR PRADESH,2013,Total Deaths (Persons),13076,2554,15630
UTTAR PRADESH,2013,Total Truck/Lorry,2861,458,3319
UTTAR PRADESH,2013,Total Bus,1364,295,1659
UTTAR PRADESH,2013,Total Tempo/Vans,1131,245,1376
UTTAR PRADESH,2013,Total Jeep,1033,241,1274
UTTAR PRADESH,2013,Total Car,1342,271,1613
UTTARAKHAND,2013,Truck/Lorry (Government),1,0,1
UTTARAKHAND,2013,Truck/Lorry (Private),84,12,96
UTTARAKHAND,2013,Bus (Government),2,0,2
UTTARAKHAND,2013,Bus (Private),69,16,85
UTTARAKHAND,2013,Tempo/Vans (Government),2,0,2
UTTARAKHAND,2013,Tempo/Vans (Private),30,4,34
UTTARAKHAND,2013,Jeep (Government),6,2,8
UTTARAKHAND,2013,Jeep (Private),50,22,72
UTTARAKHAND,2013,Car (Government),1,1,2
UTTARAKHAND,2013,Car (Private),58,21,79
UTTARAKHAND,2013,Three Wheeler,7,2,9
UTTARAKHAND,2013,Two Wheeler,152,18,170
UTTARAKHAND,2013,Bicycle,29,1,30
UTTARAKHAND,2013,Pedestrian,27,13,40
UTTARAKHAND,2013,Others (Please Specify),121,15,136
UTTARAKHAND,2013,Total Deaths (Persons),639,127,766
UTTARAKHAND,2013,Total Truck/Lorry,85,12,97
UTTARAKHAND,2013,Total Bus,71,16,87
UTTARAKHAND,2013,Total Tempo/Vans,32,4,36
UTTARAKHAND,2013,Total Jeep,56,24,80
UTTARAKHAND,2013,Total Car,59,22,81
WEST BENGAL,2013,Truck/Lorry (Government),8,0,8
