STATE/UT,Year,CAUSE,Male,Female,Total
ANDHRA PRADESH,2007,Total Tempo/Vans,423,82,505
ANDHRA PRADESH,2007,Total Jeep,530,126,656
ANDHRA PRADESH,2007,Total Car,740,145,885
ANDHRA PRADESH,2008,Truck/Lorry (Government),38,4,42
ANDHRA PRADESH,2008,Truck/Lorry (Private),2792,531,3323
ANDHRA PRADESH,2008,Bus (Government),598,149,747
ANDHRA PRADESH,2008,Bus (Private),446,157,603
ANDHRA PRADESH,2008,Tempo/Vans (Government),20,4,24
ANDHRA PRADESH,2008,Tempo/Vans (Private),506,99,605
ANDHRA PRADESH,2008,Jeep (Government),14,5,19
ANDHRA PRADESH,2008,Jeep (Private),567,189,756
ANDHRA PRADESH,2008,Car (Government),7,2,9
